event_id,user_id,event_date,channel,device,funnel_stage,product_category,spent_time_seconds,action_outcome
1,93810,2023-01-08,Website,Tablet,Product View,Home,275,progress
2,42098,2023-01-15,Mobile App,Tablet,Product View,Electronics,107,progress
3,98696,2023-02-17,Website,Tablet,Landing Page,Beauty,92,progress
4,14165,2023-01-02,Website,Desktop,Landing Page,Fashion,135,progress
5,76237,2023-02-08,Website,Tablet,Confirmation,Fashion,298,progress
6,95181,2023-02-14,Email,Desktop,Confirmation,Beauty,165,drop_off
7,87236,2023-01-18,Website,Desktop,Product View,Toys,240,progress
8,65392,2023-01-22,Social Media,Desktop,Product View,Fashion,174,progress
9,54118,2023-01-07,Website,Mobile,Confirmation,Electronics,275,drop_off
10,57052,2023-02-24,Social Media,Tablet,Checkout,Home,55,progress
11,15695,2023-02-16,Email,Tablet,Confirmation,Electronics,135,purchase
12,59615,2023-01-06,Social Media,Tablet,Add to Cart,Sports,171,progress
13,57400,2023-02-06,Mobile App,Tablet,Payment,Electronics,18,purchase
14,16006,2023-02-12,Mobile App,Mobile,Landing Page,Electronics,57,progress
15,40512,2023-02-25,Website,Mobile,Landing Page,Home,268,progress
16,69429,2023-02-10,Social Media,Desktop,Payment,Home,54,purchase
17,56566,2023-01-14,Social Media,Tablet,Landing Page,Toys,58,progress
18,94939,2023-01-05,Mobile App,Tablet,Landing Page,Toys,195,drop_off
19,42087,2023-01-11,Email,Mobile,Product View,Home,206,drop_off
20,93886,2023-02-14,Mobile App,Tablet,Product View,Home,275,progress
21,17331,2023-01-15,Website,Mobile,Landing Page,Beauty,194,progress
22,45093,2023-01-05,Mobile App,Tablet,Product View,Toys,57,progress
23,51245,2023-01-14,Email,Mobile,Confirmation,Toys,192,purchase
24,70142,2023-01-10,Social Media,Desktop,Landing Page,Fashion,19,progress
25,83579,2023-02-04,Social Media,Tablet,Landing Page,Sports,13,drop_off
26,66155,2023-02-27,Email,Mobile,Landing Page,Fashion,67,drop_off
27,28131,2023-02-02,Email,Desktop,Add to Cart,Electronics,167,drop_off
28,24371,2023-01-10,Mobile App,Tablet,Add to Cart,Beauty,235,drop_off
29,88172,2023-01-05,Email,Mobile,Payment,Sports,205,purchase
30,71348,2023-02-03,Social Media,Tablet,Landing Page,Electronics,52,progress
31,99166,2023-02-16,Website,Tablet,Add to Cart,Sports,297,drop_off
32,44973,2023-02-19,Social Media,Desktop,Add to Cart,Home,39,progress
33,66985,2023-01-11,Email,Desktop,Landing Page,Toys,135,drop_off
34,44522,2023-02-02,Mobile App,Tablet,Product View,Electronics,259,progress
35,91959,2023-01-20,Mobile App,Desktop,Landing Page,Home,211,progress
36,31174,2023-02-04,Website,Tablet,Landing Page,Home,183,progress
37,74042,2023-01-02,Website,Mobile,Add to Cart,Home,56,drop_off
38,41385,2023-01-04,Mobile App,Tablet,Add to Cart,Electronics,235,progress
39,21226,2023-02-16,Email,Desktop,Checkout,Sports,40,purchase
40,26483,2023-01-09,Email,Tablet,Product View,Fashion,247,progress
41,44741,2023-02-03,Email,Desktop,Payment,Sports,49,progress
42,36365,2023-02-15,Social Media,Mobile,Landing Page,Toys,288,drop_off
43,95180,2023-01-24,Email,Tablet,Landing Page,Beauty,290,drop_off
44,25860,2023-01-16,Mobile App,Desktop,Landing Page,Home,235,drop_off
45,12757,2023-02-07,Mobile App,Tablet,Landing Page,Fashion,287,progress
46,10942,2023-01-05,Website,Desktop,Checkout,Electronics,237,progress
47,14117,2023-02-25,Social Media,Desktop,Landing Page,Sports,141,progress
48,41195,2023-01-18,Email,Desktop,Add to Cart,Sports,238,progress
49,27342,2023-02-16,Email,Desktop,Payment,Beauty,164,purchase
50,63354,2023-01-13,Website,Desktop,Add to Cart,Toys,117,progress
51,66498,2023-01-23,Email,Mobile,Landing Page,Beauty,272,progress
52,17100,2023-02-13,Website,Desktop,Product View,Beauty,117,progress
53,54473,2023-02-21,Website,Desktop,Confirmation,Fashion,191,purchase
54,34931,2023-02-04,Email,Desktop,Product View,Beauty,58,progress
55,34050,2023-01-18,Email,Desktop,Landing Page,Electronics,130,progress
56,68082,2023-02-21,Website,Desktop,Product View,Toys,164,progress
57,80855,2023-02-23,Website,Desktop,Product View,Fashion,207,progress
58,31798,2023-01-27,Email,Mobile,Landing Page,Fashion,298,progress
59,62565,2023-02-27,Website,Desktop,Add to Cart,Beauty,202,progress
60,10282,2023-01-25,Social Media,Mobile,Checkout,Home,148,drop_off
61,65444,2023-02-14,Email,Desktop,Landing Page,Fashion,263,progress
62,48890,2023-01-14,Website,Tablet,Add to Cart,Toys,151,progress
63,81066,2023-01-04,Social Media,Desktop,Landing Page,Electronics,132,progress
64,86569,2023-01-31,Mobile App,Desktop,Checkout,Sports,271,progress
65,20500,2023-02-24,Mobile App,Desktop,Landing Page,Sports,155,progress
66,18907,2023-02-13,Mobile App,Mobile,Add to Cart,Electronics,267,drop_off
67,84668,2023-01-16,Website,Tablet,Checkout,Electronics,64,progress
68,64948,2023-02-12,Social Media,Mobile,Confirmation,Fashion,258,purchase
69,97782,2023-02-15,Social Media,Desktop,Payment,Home,13,progress
70,61876,2023-01-09,Social Media,Mobile,Add to Cart,Home,212,drop_off
71,19508,2023-01-01,Email,Tablet,Payment,Sports,124,purchase
72,23104,2023-01-05,Mobile App,Tablet,Payment,Home,117,progress
73,27361,2023-01-23,Website,Desktop,Payment,Home,258,progress
74,47353,2023-01-11,Email,Tablet,Landing Page,Toys,103,purchase
75,49651,2023-02-09,Website,Tablet,Landing Page,Sports,198,progress
76,49240,2023-02-12,Website,Desktop,Add to Cart,Home,173,progress
77,25129,2023-02-26,Website,Tablet,Landing Page,Sports,281,progress
78,30374,2023-01-18,Social Media,Tablet,Product View,Fashion,139,progress
79,54942,2023-01-14,Social Media,Tablet,Landing Page,Beauty,180,progress
80,42914,2023-02-27,Website,Desktop,Product View,Toys,26,progress
81,65518,2023-02-23,Social Media,Desktop,Confirmation,Electronics,55,purchase
82,53719,2023-02-19,Mobile App,Tablet,Add to Cart,Home,230,progress
83,31178,2023-02-17,Email,Tablet,Add to Cart,Toys,151,drop_off
84,66057,2023-02-05,Website,Desktop,Checkout,Electronics,21,purchase
85,29536,2023-02-04,Website,Mobile,Product View,Sports,50,drop_off
86,82420,2023-01-10,Email,Desktop,Product View,Electronics,237,purchase
87,50404,2023-01-24,Website,Mobile,Landing Page,Fashion,185,progress
88,99399,2023-01-16,Website,Mobile,Confirmation,Sports,120,progress
89,63264,2023-02-09,Mobile App,Desktop,Product View,Fashion,165,progress
90,33206,2023-02-26,Email,Desktop,Landing Page,Fashion,285,progress
91,53540,2023-02-20,Email,Tablet,Checkout,Toys,178,progress
92,42527,2023-01-18,Mobile App,Tablet,Add to Cart,Electronics,155,progress
93,60140,2023-02-25,Website,Mobile,Product View,Fashion,277,drop_off
94,36158,2023-02-22,Email,Mobile,Landing Page,Home,250,progress
95,39831,2023-01-15,Website,Tablet,Landing Page,Fashion,251,progress
96,62227,2023-01-22,Social Media,Desktop,Landing Page,Home,17,progress
97,56025,2023-02-11,Email,Tablet,Landing Page,Sports,40,drop_off
98,53404,2023-01-02,Website,Mobile,Add to Cart,Fashion,146,drop_off
99,86099,2023-01-17,Website,Desktop,Landing Page,Sports,96,progress
100,66959,2023-01-23,Social Media,Mobile,Product View,Sports,55,progress
101,77033,2023-01-08,Email,Tablet,Product View,Fashion,129,drop_off
102,43386,2023-01-03,Email,Desktop,Payment,Sports,184,progress
103,80575,2023-02-13,Mobile App,Mobile,Landing Page,Beauty,105,progress
104,19171,2023-02-12,Social Media,Tablet,Checkout,Home,112,drop_off
105,96951,2023-02-24,Website,Tablet,Landing Page,Home,51,progress
106,76469,2023-01-20,Email,Mobile,Landing Page,Beauty,148,purchase
107,48752,2023-02-05,Mobile App,Desktop,Product View,Beauty,162,progress
108,97153,2023-01-25,Mobile App,Tablet,Product View,Sports,279,progress
109,49446,2023-01-26,Website,Mobile,Landing Page,Home,233,progress
110,37549,2023-01-28,Social Media,Mobile,Landing Page,Beauty,131,progress
111,67954,2023-02-13,Mobile App,Tablet,Product View,Beauty,62,drop_off
112,32241,2023-02-12,Website,Mobile,Product View,Sports,100,progress
113,97012,2023-02-10,Social Media,Desktop,Add to Cart,Fashion,241,progress
114,98184,2023-01-20,Mobile App,Desktop,Confirmation,Fashion,196,purchase
115,13201,2023-01-03,Mobile App,Mobile,Add to Cart,Sports,251,progress
116,19545,2023-01-30,Email,Tablet,Product View,Sports,90,progress
117,35485,2023-02-15,Email,Mobile,Landing Page,Beauty,73,progress
118,41979,2023-01-10,Website,Desktop,Landing Page,Beauty,208,progress
119,38683,2023-01-12,Email,Desktop,Checkout,Sports,43,progress
120,42662,2023-02-28,Website,Mobile,Product View,Fashion,27,progress
121,70901,2023-02-12,Social Media,Mobile,Payment,Sports,104,progress
122,76162,2023-01-28,Email,Desktop,Product View,Toys,254,drop_off
123,72216,2023-01-29,Social Media,Desktop,Product View,Toys,8,progress
124,46347,2023-02-19,Email,Tablet,Payment,Fashion,262,progress
125,45992,2023-01-29,Website,Tablet,Product View,Home,156,progress
126,40735,2023-01-18,Social Media,Mobile,Product View,Sports,37,progress
127,20561,2023-01-09,Mobile App,Desktop,Product View,Beauty,105,progress
128,30028,2023-02-15,Mobile App,Desktop,Checkout,Beauty,172,purchase
129,63424,2023-01-22,Email,Mobile,Landing Page,Electronics,16,progress
130,37110,2023-02-23,Email,Mobile,Landing Page,Sports,246,progress
131,12560,2023-02-24,Email,Mobile,Landing Page,Electronics,268,progress
132,56105,2023-01-20,Email,Mobile,Add to Cart,Sports,119,progress
133,81582,2023-02-21,Mobile App,Mobile,Landing Page,Fashion,118,progress
134,45774,2023-01-28,Email,Desktop,Payment,Beauty,221,purchase
135,54057,2023-02-12,Email,Tablet,Landing Page,Fashion,196,progress
136,71261,2023-02-28,Mobile App,Tablet,Add to Cart,Sports,40,progress
137,13534,2023-02-28,Email,Tablet,Checkout,Sports,156,drop_off
138,96900,2023-01-02,Website,Tablet,Product View,Beauty,272,progress
139,27786,2023-02-25,Email,Desktop,Checkout,Electronics,221,progress
140,44099,2023-01-25,Social Media,Desktop,Product View,Beauty,66,progress
141,52840,2023-01-22,Email,Mobile,Product View,Beauty,191,progress
142,43065,2023-02-23,Website,Mobile,Landing Page,Electronics,237,drop_off
143,80702,2023-01-04,Social Media,Desktop,Product View,Toys,288,purchase
144,18993,2023-02-19,Website,Desktop,Confirmation,Fashion,148,drop_off
145,36130,2023-02-23,Website,Tablet,Landing Page,Fashion,29,progress
146,41266,2023-01-09,Email,Tablet,Landing Page,Electronics,57,drop_off
147,83920,2023-01-14,Email,Tablet,Checkout,Home,113,purchase
148,58351,2023-01-11,Website,Desktop,Confirmation,Home,227,progress
149,24168,2023-02-07,Website,Mobile,Add to Cart,Sports,225,progress
150,98781,2023-02-28,Email,Mobile,Landing Page,Toys,80,progress
151,35995,2023-01-05,Mobile App,Desktop,Checkout,Toys,257,drop_off
152,49529,2023-02-24,Website,Tablet,Product View,Electronics,172,progress
153,55508,2023-02-04,Email,Tablet,Checkout,Home,126,progress
154,19038,2023-02-02,Social Media,Desktop,Product View,Beauty,140,progress
155,74251,2023-01-07,Email,Mobile,Product View,Toys,149,drop_off
156,70258,2023-02-15,Mobile App,Mobile,Confirmation,Fashion,136,drop_off
157,78386,2023-02-11,Social Media,Tablet,Add to Cart,Sports,279,drop_off
158,73372,2023-01-30,Email,Tablet,Product View,Sports,95,progress
159,45179,2023-01-21,Mobile App,Desktop,Landing Page,Home,130,progress
160,69087,2023-01-16,Email,Tablet,Landing Page,Sports,224,progress
161,97580,2023-01-25,Social Media,Desktop,Add to Cart,Beauty,5,drop_off
162,52600,2023-01-12,Email,Desktop,Landing Page,Home,195,progress
163,43862,2023-01-22,Social Media,Tablet,Landing Page,Toys,121,purchase
164,46211,2023-02-05,Website,Tablet,Landing Page,Fashion,164,progress
165,21221,2023-01-16,Email,Mobile,Landing Page,Sports,84,progress
166,41499,2023-02-14,Email,Tablet,Confirmation,Toys,233,progress
167,74332,2023-01-29,Website,Desktop,Add to Cart,Home,51,drop_off
168,39045,2023-01-26,Mobile App,Mobile,Add to Cart,Toys,5,drop_off
169,86225,2023-01-24,Email,Tablet,Product View,Sports,148,progress
170,55056,2023-01-28,Social Media,Mobile,Payment,Toys,228,progress
171,69473,2023-01-18,Social Media,Mobile,Product View,Fashion,160,progress
172,25814,2023-02-16,Mobile App,Mobile,Landing Page,Electronics,168,progress
173,80236,2023-02-18,Mobile App,Desktop,Product View,Fashion,182,progress
174,73464,2023-01-18,Social Media,Desktop,Product View,Fashion,232,purchase
175,48829,2023-01-15,Social Media,Desktop,Add to Cart,Home,149,progress
176,11854,2023-02-15,Mobile App,Mobile,Product View,Electronics,224,progress
177,17146,2023-02-05,Social Media,Tablet,Landing Page,Fashion,39,drop_off
178,93606,2023-02-25,Email,Desktop,Payment,Electronics,260,purchase
179,85243,2023-01-19,Email,Mobile,Payment,Beauty,14,purchase
180,54657,2023-01-12,Website,Mobile,Payment,Beauty,9,progress
181,24953,2023-02-22,Website,Mobile,Product View,Beauty,69,progress
182,19710,2023-02-06,Website,Desktop,Confirmation,Fashion,271,purchase
183,83772,2023-01-20,Website,Desktop,Product View,Electronics,287,progress
184,83147,2023-02-18,Email,Tablet,Landing Page,Sports,109,progress
